review_id,star_rating,review_text
R001,5,"Absolutely love this product! Works perfectly and arrived fast. Highly recommend!"
R002,4,"Good quality overall. Minor issues with packaging but product itself is great."
R003,2,"Disappointing. Expected much better quality for the price. Would not buy again."
R004,5,"Outstanding! Best purchase I've made this year. Exceeded all expectations."
R005,1,"Terrible product. Broke after one use. Complete waste of money. Avoid!"
R006,3,"It's okay. Nothing special. Does what it says but nothing more."
R007,5,"Excellent! Fast shipping, perfect packaging, fantastic quality. Five stars!"
R008,2,"Not as described. Poor quality materials. Very disappointed with this purchase."
R009,4,"Pretty good product. Some minor flaws but overall satisfied with the purchase."
R010,1,"Absolute garbage! This is a scam. DO NOT BUY! Fake product and terrible service."
R011,5,"Amazing product! My whole family loves it. Will definitely order again soon."
R012,3,"Average product. Neither good nor bad. Arrived on time at least."
R013,4,"Works well for my needs. Good value for money. Would recommend to friends."
R014,2,"Below expectations. Quality issues from day one. Customer service unhelpful."
R015,5,"Perfect! Exactly as described. Super happy with this wonderful purchase!"
